variable_1,variable_2,correlation
monthly_revenue,monthly_revenue,1.0
total_orders,monthly_revenue,0.9964191468726059
total_items_sold,monthly_revenue,0.9967103380742718
avg_order_value,monthly_revenue,0.3220409148237179
unique_customers,monthly_revenue,0.9964191468726059
unique_products,monthly_revenue,0.993856074102841
is_summer,monthly_revenue,0.20719092545912407
is_winter,monthly_revenue,-0.1364647385448403
is_black_friday_month,monthly_revenue,0.26479183240960835
revenue_per_order,monthly_revenue,0.33021113646067707
revenue_per_customer,monthly_revenue,0.33021113646067707
revenue_per_item,monthly_revenue,0.3220409148237179
seasonal_avg_revenue,monthly_revenue,0.5732689990814845
seasonal_index,monthly_revenue,0.7393239562418417
revenue_3mo_avg,monthly_revenue,0.915778143602842
mom_growth_rate,monthly_revenue,-0.312543352117184
monthly_revenue,total_orders,0.9964191468726059
total_orders,total_orders,1.0
total_items_sold,total_orders,0.9997568475891687
avg_order_value,total_orders,0.3047622636429141
unique_customers,total_orders,1.0
unique_products,total_orders,0.9932098802339255
is_summer,total_orders,0.21414755022127205
is_winter,total_orders,-0.09791723140081073
is_black_friday_month,total_orders,0.27201868038921356
revenue_per_order,total_orders,0.3105087283328065
revenue_per_customer,total_orders,0.3105087283328065
revenue_per_item,total_orders,0.3047622636429141
seasonal_avg_revenue,total_orders,0.5744503680166082
seasonal_index,total_orders,0.7312198571173167
revenue_3mo_avg,total_orders,0.9126588543910356
mom_growth_rate,total_orders,-0.3162723329842825
monthly_revenue,total_items_sold,0.9967103380742718
total_orders,total_items_sold,0.9997568475891687
total_items_sold,total_items_sold,1.0
avg_order_value,total_items_sold,0.3037436280448526
unique_customers,total_items_sold,0.9997568475891684
unique_products,total_items_sold,0.9923036743229903
is_summer,total_items_sold,0.20566444384693142
is_winter,total_items_sold,-0.10062161419336768
is_black_friday_month,total_items_sold,0.282359083428755
revenue_per_order,total_items_sold,0.31090983955932316
revenue_per_customer,total_items_sold,0.31090983955932316
revenue_per_item,total_items_sold,0.3037436280448526
seasonal_avg_revenue,total_items_sold,0.5761340372697301
seasonal_index,total_items_sold,0.7291032723686756
revenue_3mo_avg,total_items_sold,0.9114767669298306
mom_growth_rate,total_items_sold,-0.3109570341031743
monthly_revenue,avg_order_value,0.3220409148237179
total_orders,avg_order_value,0.3047622636429141
total_items_sold,avg_order_value,0.3037436280448526
avg_order_value,avg_order_value,1.0
unique_customers,avg_order_value,0.3047622636429141
unique_products,avg_order_value,0.33317745021838335
is_summer,avg_order_value,0.09060961653604141
is_winter,avg_order_value,-0.32904440725292056
is_black_friday_month,avg_order_value,0.007054027055585574
revenue_per_order,avg_order_value,0.9738917091007077
revenue_per_customer,avg_order_value,0.9738917091007077
revenue_per_item,avg_order_value,1.0
seasonal_avg_revenue,avg_order_value,0.23791496685514849
seasonal_index,avg_order_value,0.30082629423140994
revenue_3mo_avg,avg_order_value,0.3815506505923157
mom_growth_rate,avg_order_value,0.05208699961015336
monthly_revenue,unique_customers,0.9964191468726059
total_orders,unique_customers,1.0
total_items_sold,unique_customers,0.9997568475891684
avg_order_value,unique_customers,0.3047622636429141
unique_customers,unique_customers,1.0
unique_products,unique_customers,0.9932098802339255
is_summer,unique_customers,0.21414755022127205
is_winter,unique_customers,-0.09791723140081073
is_black_friday_month,unique_customers,0.27201868038921356
revenue_per_order,unique_customers,0.3105087283328065
revenue_per_customer,unique_customers,0.3105087283328065
revenue_per_item,unique_customers,0.3047622636429141
seasonal_avg_revenue,unique_customers,0.5744503680166082
seasonal_index,unique_customers,0.7312198571173167
revenue_3mo_avg,unique_customers,0.9126588543910356
mom_growth_rate,unique_customers,-0.3162723329842825
monthly_revenue,unique_products,0.993856074102841
total_orders,unique_products,0.9932098802339255
total_items_sold,unique_products,0.9923036743229903
avg_order_value,unique_products,0.33317745021838335
unique_customers,unique_products,0.9932098802339255
unique_products,unique_products,1.0
is_summer,unique_products,0.28014716280031543
is_winter,unique_products,-0.14558275154727696
is_black_friday_month,unique_products,0.2594710025137934
revenue_per_order,unique_products,0.3392087574139814
revenue_per_customer,unique_products,0.3392087574139814
revenue_per_item,unique_products,0.3331774502183836
seasonal_avg_revenue,unique_products,0.5927638112176892
seasonal_index,unique_products,0.7346130366247725
revenue_3mo_avg,unique_products,0.9061313260939636
mom_growth_rate,unique_products,-0.3161716925111426
monthly_revenue,is_summer,0.20719092545912407
total_orders,is_summer,0.21414755022127205
total_items_sold,is_summer,0.20566444384693142
avg_order_value,is_summer,0.09060961653604141
unique_customers,is_summer,0.21414755022127205
unique_products,is_summer,0.28014716280031543
is_summer,is_summer,1.0
