month_start,state,city,state_month_avg_revenue,monthly_revenue,total_orders,unique_customers,total_items_sold,revenue_per_order,revenue_per_customer,revenue_per_item,state_seasonal_index,region
2017-01-01,ac,rio branco,940.515,723.14,2,2,4,361.57,361.57,180.785,0.7688766261037836,North
2017-02-01,ac,rio branco,298.87333333333333,457.87,2,2,3,228.935,228.935,152.62333333333333,1.5319867948517767,North
2017-02-01,ac,brasileia,298.87333333333333,139.53,1,1,3,139.53,139.53,46.51,0.4668532934799581,North
2017-03-01,ac,rio branco,347.425,530.18,2,2,2,265.09,265.09,265.09,1.5260272001151327,North
2017-04-01,ac,porto acre,484.92,104.35,1,1,1,104.35,104.35,104.35,0.21519013445516785,North
2017-04-01,ac,rio branco,484.92,1247.16,4,4,4,311.79,311.79,311.79,2.5718881464983916,North
2017-05-01,ac,rio branco,1291.05,2371.73,8,8,8,296.46625,296.46625,296.46625,1.837055110181635,North
2017-06-01,ac,rio branco,553.765,510.27,4,4,4,127.5675,127.5675,127.5675,0.9214558522116783,North
2017-07-01,ac,rio branco,1282.175,794.4,5,5,5,158.88,158.88,158.88,0.6195722112816113,North
2017-08-01,ac,rio branco,685.175,765.83,4,4,4,191.4575,191.4575,191.4575,1.1177144525121319,North
2017-09-01,ac,manoel urbano,676.41,248.71,1,1,1,248.71,248.71,248.71,0.36769119321121807,North
2017-09-01,ac,rio branco,676.41,1679.61,3,3,3,559.87,559.87,559.87,2.4831241406839046,North
2017-09-01,ac,senador guiomard,676.41,100.91,1,1,1,100.91,100.91,100.91,0.1491846661048772,North
2017-10-01,ac,epitaciolandia,479.085,139.52,1,1,1,139.52,139.52,139.52,0.29122180823862154,North
2017-10-01,ac,rio branco,479.085,818.65,5,5,5,163.73,163.73,163.73,1.7087781917613785,North
2017-11-01,ac,rio branco,472.58,646.86,4,4,4,161.715,161.715,161.715,1.3687841212069913,North
2017-11-01,ac,xapuri,472.58,298.3,1,1,1,298.3,298.3,298.3,0.6312158787930086,North
2017-12-01,ac,cruzeiro do sul,469.86,221.13,2,2,2,110.565,110.565,110.565,0.47062954922742944,North
2017-12-01,ac,rio branco,469.86,742.27,2,2,2,371.135,371.135,371.135,1.5797684416634743,North
