warehouse_region,delivery_region,unit_cost,optimal_shipments,route_active
Center-West,Center-West,0.24296972432946995,1892.0,1
Center-West,North,0.48104148306623357,0.0,0
Center-West,Northeast,0.5158142585159524,0.0,0
Center-West,South,0.42452375437942236,0.0,0
Center-West,Southeast,0.33042696055821075,0.0,0
North,Center-West,1.9909592529711375,0.0,0
North,North,1.9909592529711375,0.0,0
North,Northeast,0.9954796264855688,0.0,0
North,South,0.4322649489190065,0.0,0
North,Southeast,0.4741265837070768,0.0,0
Northeast,Center-West,0.4552771033494608,0.0,0
Northeast,North,0.703714250664887,0.0,0
Northeast,Northeast,0.361282643257407,2015.0,1
Northeast,South,0.5442850182046577,0.0,0
Northeast,Southeast,0.42815633433761546,0.0,0
South,Center-West,0.45361967967653616,0.0,0
South,North,0.6567167630057804,0.0,0
South,Northeast,0.6502618919104586,0.0,0
South,South,0.295263790886876,15917.0,1
South,Southeast,0.34932583393034145,0.0,0
Southeast,Center-West,0.38260389903530034,4620.0,1
Southeast,North,0.5914860496383604,2024.0,1
Southeast,Northeast,0.5221049442083673,8101.0,1
Southeast,South,0.3758836324916337,0.0,0
Southeast,Southeast,0.2700263943001266,75987.0,1
